,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
0,A & N ISLANDS,ANDAMAN,2001,3,2,0,18,1,9,0
1,A & N ISLANDS,NICOBAR,2001,0,0,0,1,0,0,0
2,A & N ISLANDS,ANDAMAN,2002,1,1,0,16,3,4,0
3,A & N ISLANDS,NICOBAR,2002,1,0,0,1,0,0,0
4,A & N ISLANDS,ANDAMAN,2003,2,2,0,9,2,7,0
5,A & N ISLANDS,NICOBAR,2003,0,0,0,0,0,0,0
6,A & N ISLANDS,ANDAMAN,2004,10,3,0,5,3,5,0
7,A & N ISLANDS,NICOBAR,2004,0,0,0,1,0,0,0
8,A & N ISLANDS,ANDAMAN,2005,4,1,0,10,1,5,0
9,A & N ISLANDS,NICOBAR,2005,0,0,0,1,0,0,0
10,A & N ISLANDS,ANDAMAN,2006,6,5,0,12,4,7,0
11,A & N ISLANDS,NICOBAR,2006,0,0,0,2,0,0,0
12,A & N ISLANDS,A and N ISLANDS,2007,3,9,1,21,2,18,0
13,A & N ISLANDS,ANDAMAN,2008,12,13,2,24,3,25,0
14,A & N ISLANDS,NICOBAR,2008,0,0,0,0,0,1,0
15,A & N ISLANDS,ANDAMAN,2009,18,14,1,29,7,21,0
16,A & N ISLANDS,NICOBAR,2009,0,0,0,1,0,0,0
17,A & N ISLANDS,ANDAMAN,2010,23,8,0,31,10,9,0
18,A & N ISLANDS,NICOBAR,2010,1,0,0,0,0,0,0
19,A & N ISLANDS,ANDAMAN,2011,13,12,0,14,3,5,0
20,A & N ISLANDS,NICOBAR,2011,0,0,0,1,0,0,0
21,A & N ISLANDS,CAR,2012,0,1,0,1,0,0,0
22,A & N ISLANDS,NORTH,2012,4,0,0,2,1,2,0
23,A & N ISLANDS,SOUTH,2012,8,6,2,14,3,3,0
24,A & N Islands,South Andaman,2014,19,9,3,27,4,10,0
25,A & N Islands,North & Middle Andaman,2014,11,8,0,14,1,4,0
26,A & N Islands,Nicobar,2014,2,0,0,0,0,0,0
27,A&N Islands,CAR,2013,1,0,0,2,2,0,0
28,A&N Islands,NORTH,2013,5,5,0,10,1,5,0
29,A&N Islands,SOUTH,2013,21,7,1,33,5,4,0
30,ANDHRA PRADESH,ADILABAD,2002,37,32,20,174,63,240,0
31,ANDHRA PRADESH,ANANTAPUR,2002,28,49,9,179,37,151,0
32,ANDHRA PRADESH,CHITTOOR,2002,28,39,16,126,40,188,0
33,ANDHRA PRADESH,CUDDAPAH,2002,16,22,21,100,36,63,0
34,ANDHRA PRADESH,EAST GODAVARI,2002,25,5,11,108,73,276,0
35,ANDHRA PRADESH,GUNTAKAL RLY.,2002,1,0,0,3,0,0,0
36,ANDHRA PRADESH,GUNTUR,2002,46,71,13,186,85,434,0
37,ANDHRA PRADESH,HYDERABAD CITY,2002,57,61,24,138,123,590,0
38,ANDHRA PRADESH,KARIMNAGAR,2002,99,42,45,357,125,209,0
39,ANDHRA PRADESH,KHAMMAM,2002,48,55,13,191,375,324,0
40,ANDHRA PRADESH,KRISHNA,2002,41,21,14,211,110,374,0
41,ANDHRA PRADESH,KURNOOL,2002,45,24,11,166,115,167,0
42,ANDHRA PRADESH,MAHABOOBNAGAR,2002,85,36,31,202,42,225,0
43,ANDHRA PRADESH,MEDAK,2002,68,38,25,103,28,251,0
44,ANDHRA PRADESH,NALGONDA,2002,41,37,37,232,67,210,0
45,ANDHRA PRADESH,NELLORE,2002,46,54,10,206,226,289,0
46,ANDHRA PRADESH,NIZAMABAD,2002,35,21,17,71,24,278,0
47,ANDHRA PRADESH,PRAKASHAM,2002,21,25,5,156,18,142,0
48,ANDHRA PRADESH,RANGA REDDY,2002,49,70,51,143,93,508,0
49,ANDHRA PRADESH,SECUNDERABAD RLY.,2002,0,0,0,0,0,0,0
50,ANDHRA PRADESH,SRIKAKULAM,2002,14,9,4,60,16,114,0
51,ANDHRA PRADESH,VIJAYAWADA,2002,31,43,9,119,171,869,0
52,ANDHRA PRADESH,VIJAYAWADA RLY.,2002,1,0,0,2,0,2,0
53,ANDHRA PRADESH,VISAKHA RURAL,2002,14,0,2,65,41,85,0
54,ANDHRA PRADESH,VISAKHAPATNAM,2002,8,10,3,28,18,235,0
55,ANDHRA PRADESH,VIZIANAGARAM,2002,12,0,1,38,25,190,0
56,ANDHRA PRADESH,WARANGAL,2002,52,58,45,212,0,157,0
57,ANDHRA PRADESH,WEST GODAVARI,2002,54,32,12,223,73,447,0
58,ANDHRA PRADESH,ADILABAD,2003,35,16,11,141,39,238,0
59,ANDHRA PRADESH,ANANTAPUR,2003,19,45,4,224,45,146,0
60,ANDHRA PRADESH,CHITTOOR,2003,36,34,23,121,173,60,0
61,ANDHRA PRADESH,CUDDAPAH,2003,10,28,5,104,31,60,0
62,ANDHRA PRADESH,CYBERABAD,2003,31,62,25,96,78,543,1
63,ANDHRA PRADESH,EAST GODAVARI,2003,18,35,11,150,110,357,0
64,ANDHRA PRADESH,GUNTAKAL RLY.,2003,1,1,0,2,0,0,0
65,ANDHRA PRADESH,GUNTUR,2003,46,77,22,228,99,399,0
66,ANDHRA PRADESH,HYDERABAD CITY,2003,57,64,42,165,296,1082,0
67,ANDHRA PRADESH,KARIMNAGAR,2003,88,67,53,362,132,602,1
68,ANDHRA PRADESH,KHAMMAM,2003,45,35,17,162,246,180,0
69,ANDHRA PRADESH,KRISHNA,2003,45,16,20,186,107,317,0
70,ANDHRA PRADESH,KURNOOL,2003,28,16,11,231,131,202,0
71,ANDHRA PRADESH,MAHABOOBNAGAR,2003,69,33,19,179,36,238,0
72,ANDHRA PRADESH,MEDAK,2003,30,37,44,128,37,174,0
73,ANDHRA PRADESH,NALGONDA,2003,62,37,33,249,51,319,0
74,ANDHRA PRADESH,NELLORE,2003,27,58,10,204,97,231,0
75,ANDHRA PRADESH,NIZAMABAD,2003,29,7,11,61,32,329,3
76,ANDHRA PRADESH,PRAKASHAM,2003,22,31,13,133,149,114,0
77,ANDHRA PRADESH,RANGA REDDY,2003,14,14,12,71,12,113,0
78,ANDHRA PRADESH,SECUNDERABAD RLY.,2003,0,0,0,0,0,0,0
79,ANDHRA PRADESH,SRIKAKULAM,2003,9,4,7,58,44,147,0
80,ANDHRA PRADESH,VIJAYAWADA,2003,27,45,7,170,146,1208,0
81,ANDHRA PRADESH,VIJAYAWADA RLY.,2003,0,0,0,0,3,0,0
82,ANDHRA PRADESH,VISAKHA RURAL,2003,15,15,3,54,16,89,0
83,ANDHRA PRADESH,VISAKHAPATNAM,2003,9,20,3,11,30,146,0
84,ANDHRA PRADESH,VIZIANAGARAM,2003,6,0,4,34,25,127,0
85,ANDHRA PRADESH,WARANGAL,2003,61,69,35,222,0,162,0
86,ANDHRA PRADESH,WEST GODAVARI,2003,107,65,21,382,121,584,0
87,ANDHRA PRADESH,ADILABAD,2004,50,42,14,135,71,296,0
88,ANDHRA PRADESH,ANANTAPUR,2004,20,31,11,196,50,147,0
89,ANDHRA PRADESH,CHITTOOR,2004,28,27,22,116,197,234,0
90,ANDHRA PRADESH,CUDDAPAH,2004,14,31,7,118,49,120,0
91,ANDHRA PRADESH,CYBERABAD,2004,40,69,43,106,85,517,0
92,ANDHRA PRADESH,EAST GODAVARI,2004,31,23,13,112,105,293,0
93,ANDHRA PRADESH,GUNTAKAL RLY.,2004,0,0,0,1,0,0,0
94,ANDHRA PRADESH,GUNTUR,2004,46,60,32,186,104,397,0
95,ANDHRA PRADESH,HYDERABAD CITY,2004,56,62,29,144,206,1142,2
96,ANDHRA PRADESH,KARIMNAGAR,2004,85,98,61,370,155,717,0
97,ANDHRA PRADESH,KHAMMAM,2004,43,46,18,176,310,400,0
98,ANDHRA PRADESH,KRISHNA,2004,33,13,13,182,108,362,0
99,ANDHRA PRADESH,KURNOOL,2004,29,32,6,242,157,230,0
100,ANDHRA PRADESH,MAHABOOBNAGAR,2004,56,52,21,164,10,251,0
101,ANDHRA PRADESH,MEDAK,2004,52,32,41,86,54,229,0
102,ANDHRA PRADESH,NALGONDA,2004,46,57,34,200,66,272,0
103,ANDHRA PRADESH,NELLORE,2004,107,55,11,173,88,142,0
104,ANDHRA PRADESH,NIZAMABAD,2004,24,19,17,74,46,339,0
105,ANDHRA PRADESH,PRAKASHAM,2004,19,37,6,130,24,146,0
